Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DM-A0XD	0	0.0372724311526428	0.24629471696127	0.10847380694059	0	0	0	0.0146659785020434	0.0654704862331057	0	0.0178754940005274	0.023518488009057	0	0.271120913174222	0.00775545144631931	0.0530703438026843	0	0.0069837978605825	0.0988780043185792	0.0486200875983756	0	0	0.154	0.091318007845332	1.06285362946621
TCGA-D5-6532	0	0.0587418443661831	0.366227590589856	0.0578610567047367	0	0.0373916407629958	0.14261013100119	0.0307694975932413	0	0	0.0419522001043146	0	0.00310035171461476	0.0686660834108548	0.0892956218664344	0.0442440692793586	0.0565211142327452	0	0.00261879837347456	0	0	0	0	0.551069730816539	0.834948342868481
TCGA-DM-A28E	0	0.0237130511765516	0.182834817428352	0.0209539690964899	0	0.205677619914638	0.18689107056342	0.162784924613734	0	0	0.0261124747638542	0	0.00107459176672773	0.119785475854217	0.0440815237895267	0	0	0	0	0.0260904810324888	0	0	0.053	0.185270306729941	1.01799260110636
TCGA-CM-6163	0.0510736062911961	0	0.183356809706694	0.184179478958546	0	0.122861039285053	0.00640002433542344	0.0321983700243452	0.0692437760012855	0	0.0329054262797387	0	0.00664309993010888	0.0906906901558468	0.0454089647199341	0.096254564145042	0.0709671842839911	0	0.00642275441583483	0	0.0013942114669612	0	0.00900000000000001	0.378655190855493	0.926304767515837
TCGA-AA-A01Z	0	0	0.325113227654089	0	0.0739401933272048	0	0	0.131136554679269	0.0120308893877592	0	0.0723439408156411	0	0	0.12226663014718	0.00551782751831083	0	0.0173049358270927	0	0	0.240301094261031	4.47063824224098e-05	0	0.014	0.317789291464945	0.968958501676541
TCGA-CM-5348	0	0.0114038580464556	0.0019014846243128	0.00886982767682731	0	0.0315002157911509	0	0.0043075402351026	0.0328589927801154	0	0.00276354116681998	0.00279166473245226	0	0.74246550825149	0.0140413061959799	0.0752549324739143	0	0	0.0718411280253783	0	0	0	0.00700000000000001	0.407699002380004	0.974112204478812
TCGA-D5-7000	0	0.0187037025877212	0.101862413424068	0.122634630759474	0	0.126608904558732	0.0399487309429576	0.0672406451581596	0.0298366856047293	0	0.0763573015932637	0	0	0.157878946296987	0.0711506456092196	0.0524796369828426	0	0	0	0.0603312028287745	0.0445400595543187	0.0304264940987524	0.045	0.19886322278017	1.0030961859037
TCGA-CM-4743	0	0.0674305211155804	0.211449955920493	0.0977285374076798	0	0	0.185440623412979	0.0381615543998738	0.00511763480464626	0	0.122882512407847	0.0575366202307242	0	0	0.0932659832831534	0.0484075566850041	0.0546638045073363	0.0054339123580927	0	0.00483604436465327	0	0.00764473910193557	0.00800000000000001	0.399836726134763	0.918970918240849
TCGA-CK-4947	0.0528494518503164	0	0.212298245631259	0.177962527084297	0	0.11878760484447	0.000263210298868026	0.054857296080315	0.0683682237806251	0	0.0153044447679243	0	0	0.0187762525365832	0.0474353760024001	0.0600716295894657	0.130108077613002	0	0.0122509798531636	0.0196142955743789	0.0110523844929314	0	0.00800000000000001	0.400847642925656	0.916112307688174
TCGA-A6-A567	0.0175225737007843	0	0.353125699319921	0.0614993737183155	0	0.200504846434435	0	0.0682100042828849	0	0	0.051436472043433	0	0	0.0744402104057283	0.0354274104524798	0.0708132382352416	0.0251079028900492	0	0	0.0419122685167276	0	0	0.014	0.319621682574105	0.964196868155483
